                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.90179,                0.58606,                  1.169,                0.96308,                0.94101,                0.97473,                0.70274,                0.91712,                0.47173,                 1.1164,              0.0002105,              0.0002105,              0.0002105
                     86,                0.89476,                0.58036,                 1.1604,                0.95361,                0.94563,                0.97171,                 0.7055,                0.90873,                0.46547,                 1.1083,             0.00019813,             0.00019813,             0.00019813
                     87,                0.90321,                0.58507,                 1.1665,                0.96649,                0.94102,                0.97855,                0.71356,                0.90191,                0.45861,                 1.1032,             0.00018575,             0.00018575,             0.00018575
                     88,                0.89329,                 0.5891,                 1.1617,                0.96642,                 0.9355,                0.97564,                 0.7072,                0.90097,                0.45861,                 1.0997,             0.00017338,             0.00017338,             0.00017338
                     89,                0.88451,                0.58076,                 1.1592,                0.98309,                0.94388,                0.97932,                0.70672,                0.90214,                0.45774,                 1.1013,               0.000161,               0.000161,               0.000161
                     90,                 0.8741,                0.56753,                 1.1511,                0.97001,                0.94934,                0.98034,                0.71376,                0.89007,                0.45541,                 1.1018,             0.00014862,             0.00014862,             0.00014862
                     91,                0.82468,                0.46125,                 1.0938,                0.97111,                0.94823,                0.98022,                0.71156,                0.90297,                0.45827,                 1.1048,             0.00013625,             0.00013625,             0.00013625
                     92,                0.81097,                0.44637,                 1.0848,                0.95735,                0.95599,                 0.9755,                0.71689,                0.89043,                0.44536,                 1.0932,             0.00012387,             0.00012387,             0.00012387
                     93,                0.79479,                 0.4428,                 1.0777,                0.97025,                0.95893,                0.97907,                 0.7178,                0.88235,                 0.4422,                 1.0898,              0.0001115,              0.0001115,              0.0001115
                     94,                0.78488,                0.43629,                 1.0678,                0.95982,                0.95883,                0.97901,                0.72569,                0.88152,                 0.4451,                 1.0875,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.78106,                0.43416,                 1.0635,                0.97393,                0.95551,                0.97999,                0.72808,                0.87996,                0.44242,                 1.0819,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.78005,                0.43335,                 1.0654,                 0.9723,                0.94957,                0.97983,                0.73145,                0.87762,                0.44266,                 1.0777,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.77245,                0.43317,                 1.0578,                0.96286,                0.95871,                0.98125,                0.73329,                0.86317,                0.43334,                 1.0699,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.76906,                0.42947,                 1.0543,                0.96475,                0.96632,                0.98206,                0.73455,                0.85799,                0.43107,                 1.0682,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.7539,                0.42442,                 1.0448,                0.96356,                0.96501,                0.98009,                0.73014,                0.85789,                0.42835,                 1.0665,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.74956,                0.42176,                 1.0463,                0.96507,                0.96901,                0.98231,                0.73537,                0.85428,                0.42852,                 1.0649,             2.4875e-05,             2.4875e-05,             2.4875e-05
